City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
316,Trairi,BR,-3.28,-39.27,81.52,72,95,12.1,overcast clouds
317,Brownsville,US,25.9,-97.5,82.4,58,20,14.99,few clouds
318,Tiruchchendur,IN,8.48,78.12,77.68,77,59,13.02,broken clouds
319,Hokitika,NZ,-42.72,170.97,60.03,76,14,6.69,few clouds
320,Malko Tarnovo,BG,41.98,27.53,44.6,87,90,17.22,overcast clouds
321,San Ramon,US,37.78,-121.98,57.99,87,90,9.17,overcast clouds
322,Tignere,CM,7.37,12.65,70.16,29,10,1.48,clear sky
323,Dawei,MM,14.08,98.2,74.21,86,97,2.59,overcast clouds
324,Sangar,RU,63.92,127.47,-47.18,77,77,3.15,broken clouds
325,Fuzhou,CN,26.06,119.31,51.8,93,90,15.66,light rain
326,Nchelenge,ZM,-9.35,28.73,66.83,83,87,1.86,overcast clouds
327,Sabang,ID,5.89,95.32,80.74,72,68,0.76,broken clouds
328,Bandarbeyla,SO,9.49,50.81,73.42,68,0,16.53,clear sky
329,Berezovyy,RU,51.67,135.7,-0.56,88,100,3.6,overcast clouds
330,Leshukonskoye,RU,64.9,45.76,17.08,96,100,8.08,overcast clouds
331,Shizunai,JP,42.33,142.37,27.39,87,100,12.59,snow
332,Yakeshi,CN,49.28,120.73,-27.02,81,12,3.58,few clouds
333,Saskylakh,RU,71.92,114.08,-22.88,83,100,17.74,overcast clouds
334,Babu,CN,24.42,111.52,49.05,79,100,8.32,overcast clouds
335,Fredericksburg,US,38.3,-77.46,66.2,48,1,2.21,clear sky
336,Yuzhno-Kurilsk,RU,44.03,145.86,25.32,91,100,11.27,overcast clouds
337,Zambezi,ZM,-13.54,23.1,66.29,91,100,8.37,overcast clouds
338,Maarianhamina,AX,60.1,19.93,32.0,86,90,3.36,overcast clouds
339,Westport,US,41.14,-73.36,54.0,59,94,7.58,overcast clouds
340,Ulaanbaatar,MN,47.91,106.88,-31.0,59,0,0.89,clear sky
341,Mahebourg,MU,-20.41,57.7,75.2,88,75,13.87,shower rain
342,Koutiala,ML,12.39,-5.46,75.15,20,58,6.08,broken clouds
343,Jaguey Grande,CU,22.53,-81.13,82.4,65,20,9.17,moderate rain
344,Rabak,SD,13.18,32.74,76.12,18,0,10.29,clear sky
345,Tyukhtet,RU,56.54,89.3,7.14,94,100,11.48,overcast clouds
346,General Roca,AR,-39.03,-67.58,75.2,15,0,23.04,clear sky
347,Belle Glade,US,26.68,-80.67,79.0,73,39,4.34,scattered clouds
348,Grand Gaube,MU,-20.01,57.66,73.99,83,23,4.0,few clouds
349,Tynda,RU,55.17,124.72,-30.3,81,89,3.69,overcast clouds
350,Dalby,AU,-27.18,151.27,68.0,86,100,3.0,light rain
351,Chiavari,IT,44.32,9.32,48.0,91,0,4.09,clear sky
352,Shimoda,JP,34.67,138.95,46.0,65,38,5.99,scattered clouds
353,Thompson,CA,55.74,-97.86,-13.0,75,20,11.41,few clouds
